"yearmonth","na_l3name","n_fire","total_acres_burned","year","month","mean_potential_et","total_precip","max_air_temp","mean_wind_speed"
"1984-02","Acadian Plains and Hills",0,0,1984,2,1.18052101437737,116.81390339807,275.477339937178,4.96235715860969
"1984-02","Arizona/New Mexico Mountains",0,0,1984,2,2.73976369678116,3.00843639418313,285.100151893169,3.8760591139556
"1984-02","Arizona/New Mexico Plateau",0,0,1984,2,2.25350064120761,3.42049328898722,283.500147217012,3.20012557119657
"1984-02","Arkansas Valley",0,0,1984,2,2.58481216062475,94.9983740299005,288.353686528618,4.53038703263786
"1984-02","Aspen Parkland/Northern Glaciated Plains",0,0,1984,2,0.803727654316039,15.3257238688401,274.354736094499,3.57755469949352
"1984-02","Atlantic Coastal Pine Barrens",0,0,1984,2,1.59781976033696,117.866864529795,281.865322827299,5.15893979617479
"1984-02","Blue Mountains",0,0,1984,2,1.00768613088424,57.1701407541087,277.026887440074,3.86020538955905
"1984-02","Blue Ridge",0,0,1984,2,2.07729032265993,165.916972381361,284.04610269553,5.06224614595296
"1984-02","Boston Mountains",0,0,1984,2,2.43918926180857,99.533020720789,286.459557399941,5.36594358197959
"1984-02","California Coastal Sage, Chaparral, and Oak Woodlands",0,0,1984,2,2.27483976019219,42.612067304683,290.123137737248,3.12537199056088
"1984-02","Canadian Rockies",0,0,1984,2,1.17415299039022,59.3953819826638,275.559341786505,5.558372590464
"1984-02","Cascades",0,0,1984,2,1.16050615487327,208.370136943586,279.760948487066,4.60978284790808
"1984-02","Central Appalachians",0,0,1984,2,1.74906130051844,98.2132799503452,282.132597571671,4.76270791745191
"1984-02","Central Basin and Range",0,0,1984,2,1.54744516938495,20.7609185358716,279.133859186138,3.13867442078837
"1984-02","Central California Valley",0,0,1984,2,1.85548378699015,28.6230341559482,289.950152861813,2.52903595154966
"1984-02","Central Corn Belt Plains",0,0,1984,2,1.3408731203239,47.0365965444098,279.308173312195,4.6327557376374
"1984-02","Central Great Plains",0,0,1984,2,2.42257184170496,26.652526434047,285.765068671119,4.71673667267733
"1984-02","Central Irregular Plains",0,0,1984,2,1.96117026166,43.9770273401307,283.730487682319,4.84033472939087
"1984-02","Chihuahuan Desert",0,0,1984,2,3.58932243314298,1.0504356684999,290.968026577923,3.85049104530286
"1984-02","Chihuahuan Deserts",0,0,1984,2,3.21946028742997,0.394744838436022,291.531560638943,3.06900186907782
"1984-02","Coast Range",0,0,1984,2,1.23835225324914,302.974126919243,284.096346638275,5.58386664351501
"1984-02","Colorado Plateaus",0,0,1984,2,1.49174669521194,10.724304883775,278.333489889824,2.6010849490987
"1984-02","Columbia Mountains/Northern Rockies",0,0,1984,2,0.864725855361121,52.4210424892838,276.951593328736,3.37374692873617
"1984-02","Columbia Plateau",0,0,1984,2,0.971851291414676,33.9567250066717,279.872422175603,2.96232405460687
"1984-02","Cross Timbers",0,0,1984,2,3.21381145824825,45.4397453422327,290.558763758616,4.84806240528096
"1984-02","Driftless Area",0,0,1984,2,1.13901791579671,32.633169507912,276.547386467387,4.00241211314637
"1984-02","East Central Texas Plains",0,0,1984,2,3.30569599867764,60.0731201199423,292.473853222103,4.36567344612486
"1984-02","Eastern Cascades Slopes and Foothills",0,0,1984,2,1.21114935874824,66.3011915195001,278.837890283628,4.08258964242427
"1984-02","Eastern Corn Belt Plains",0,0,1984,2,1.49351286620712,50.9512910291479,280.349321525788,4.56170395345551
"1984-02","Eastern Great Lakes Lowlands",0,0,1984,2,1.12910549923448,70.9652502677648,277.073993752618,4.37740718570846
"1984-02","Edwards Plateau",0,0,1984,2,3.77086493629473,10.0648676377512,292.688573478545,4.6910144294639
"1984-02","Erie Drift Plain",0,0,1984,2,1.43940523548186,69.0502683088653,279.297398288042,4.63756869080779
"1984-02","Flint Hills",0,0,1984,2,2.18168605663659,37.6123534477245,285.095281784777,5.03070619270323
"1984-02","High Plains",0,0,1984,2,2.4891858749743,12.1520416013242,284.590328368623,4.40636561216472
"1984-02","Huron/Erie Lake Plains",0,0,1984,2,1.22194197926165,29.5907512328551,278.079184473875,4.35721994235263
"1984-02","Idaho Batholith",0,0,1984,2,0.992715085917169,79.7308215204001,274.089500876488,4.00266449713887
"1984-02","Interior Plateau",0,0,1984,2,1.99189795611636,86.1311845186784,285.296324474027,4.17282947050999
"1984-02","Interior River Valleys and Hills",0,0,1984,2,1.65683789244255,65.4746258814108,282.307658875217,4.54906035423858
